income_group,region,poverty_ratio
Lower middle income,Latin America & Caribbean ,3.1
Lower middle income,Latin America & Caribbean ,4.2
Lower middle income,Latin America & Caribbean ,3.1
Lower middle income,Latin America & Caribbean ,3.3
Upper middle income,Europe & Central Asia,0.4
Upper middle income,Europe & Central Asia,0.7
Upper middle income,Europe & Central Asia,0.9
Upper middle income,Europe & Central Asia,1.2
Upper middle income,Europe & Central Asia,0.3
Upper middle income,Sub-Saharan Africa ,34.8
Upper middle income,Sub-Saharan Africa ,21.1
Upper middle income,Sub-Saharan Africa ,21.4
Upper middle income,Latin America & Caribbean ,16.2
Upper middle income,Latin America & Caribbean ,17.1
Upper middle income,Latin America & Caribbean ,15.3
Upper middle income,Latin America & Caribbean ,13.7
Upper middle income,Latin America & Caribbean ,11.4
Upper middle income,Latin America & Caribbean ,10.8
Upper middle income,Latin America & Caribbean ,9.1
Upper middle income,Latin America & Caribbean ,8.4
Upper middle income,Latin America & Caribbean ,7.1
Upper middle income,Latin America & Caribbean ,6.4
Upper middle income,Latin America & Caribbean ,5.4
Upper middle income,Latin America & Caribbean ,4.8
Upper middle income,Latin America & Caribbean ,5.4
Upper middle income,Latin America & Caribbean ,6.5
Upper middle income,Latin America & Caribbean ,7.0
Upper middle income,Latin America & Caribbean ,6.9
Upper middle income,Latin America & Caribbean ,7.0
Upper middle income,Latin America & Caribbean ,2.8
Upper middle income,Latin America & Caribbean ,7.5
Upper middle income,Latin America & Caribbean ,4.9
High income,Europe & Central Asia,2.2
High income,Europe & Central Asia,8.0
High income,Europe & Central Asia,2.5
High income,Europe & Central Asia,1.9
High income,Europe & Central Asia,1.8
High income,Europe & Central Asia,2.7
High income,Europe & Central Asia,3.4
High income,Europe & Central Asia,3.0
High income,Europe & Central Asia,3.3
High income,Europe & Central Asia,2.7
High income,Europe & Central Asia,4.6
High income,Europe & Central Asia,3.1
High income,Europe & Central Asia,2.0
High income,Europe & Central Asia,1.5
High income,Europe & Central Asia,1.6
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,1.2
High income,Europe & Central Asia,1.1
Low income,Sub-Saharan Africa ,69.6
Low income,Sub-Saharan Africa ,67.2
Low income,Sub-Saharan Africa ,58.7
Low income,Sub-Saharan Africa ,47.7
Low income,Sub-Saharan Africa ,42.1
Low income,Sub-Saharan Africa ,81.5
Low income,Sub-Saharan Africa ,75.8
Low income,Sub-Saharan Africa ,74.2
Upper middle income,Sub-Saharan Africa ,26.2
Upper middle income,Sub-Saharan Africa ,14.6
Lower middle income,Sub-Saharan Africa ,36.0
Lower middle income,Sub-Saharan Africa ,29.0
Lower middle income,Sub-Saharan Africa ,26.7
High income,North America,0.3
High income,North America,0.3
High income,North America,0.3
High income,North America,0.3
High income,North America,0.3
High income,North America,0.2
High income,North America,0.3
High income,North America,0.3
High income,North America,0.3
High income,North America,0.3
High income,North America,0.3
High income,North America,0.5
High income,North America,0.3
High income,North America,0.4
High income,North America,0.4
High income,North America,0.4
High income,North America,0.4
High income,North America,0.4
High income,North America,0.1
High income,North America,0.2
High income,North America,0.3
Low income,Sub-Saharan Africa ,67.3
Low income,Sub-Saharan Africa ,71.6
Low income,Sub-Saharan Africa ,66.7
Low income,Sub-Saharan Africa ,45.2
Low income,Sub-Saharan Africa ,41.9
Low income,Sub-Saharan Africa ,39.5
High income,Latin America & Caribbean ,7.9
High income,Latin America & Caribbean ,3.3
High income,Latin America & Caribbean ,2.6
High income,Latin America & Caribbean ,1.7
High income,Latin America & Caribbean ,0.8
High income,Latin America & Caribbean ,0.7
High income,Latin America & Caribbean ,0.5
High income,Latin America & Caribbean ,1.7
High income,Latin America & Caribbean ,0.6
Upper middle income,East Asia & Pacific,47.8
Upper middle income,East Asia & Pacific,32.9
Upper middle income,East Asia & Pacific,26.1
Upper middle income,East Asia & Pacific,20.6
