electricity_access,agri_value_added,health_expenditure,gdp_growth,gdp_per_capita,education_expenditure,internet_users,inflation,life_expectancy,urban_population,reg_europe_and_central_asia,reg_latin_america_and_caribbean,reg_middle_east_north_africa_afghanistan_and_pakistan,reg_north_america,reg_south_asia,reg_sub_saharan_africa,poverty_ratio
98.5597948238034,5.58945978859827,7.70976162,3.72534172801831,13482.4788785045,3.70918011665344,86.6,2.27673550782623,76.7378937238629,64.3743990279048,0,0,0,0,0,0,2.0
98.4044624957692,5.59468078069719,6.8203923602249,4.07119548974431,13251.5119797804,3.51481008529663,84.9,4.25155508842779,76.6572021082574,64.0244370902805,0,0,0,0,0,0,2.2
99.998857471373,1.97692438805462,7.70976162,1.61092975636407,31630.8552937604,3.70918011665344,90.9,2.75760909424279,78.5976161914947,73.9693471857728,0,0,0,0,0,0,0.6
100.0,2.00347772713578,9.58496768550451,1.04695405528739,30015.7640895399,3.70918011665344,89.6,7.12042212089904,78.3912342010497,73.843585823465,0,0,0,0,0,0,0.7
68.9457220651021,19.9146012896829,7.70976162,4.35048943307154,1487.2803211344,3.70918011665344,36.4,3.89084237884105,65.6366628053028,40.6826937203111,0,0,0,0,0,0,35.9
67.5062058598898,20.814967465541,3.86404281504275,3.09487183510299,1536.73358897841,3.22974322056608,34.5,7.10220928557059,65.4550660808135,40.2201100518451,0,0,0,0,0,0,36.1
98.0459111591331,6.60153563787814,7.70976162,2.25497168830525,10705.1067802788,3.70918011665344,81.7,3.46497037946077,75.8179100020065,81.2716849224706,0,0,0,0,0,0,4.3
98.4226177308055,6.57696085107267,7.94355058922187,2.20678468368602,10507.6138782353,3.81964993476868,80.0,4.63202285403356,75.6435273357906,81.0435031875464,0,0,0,0,0,0,4.6
90.2581392015093,9.23109635701583,7.70976162,4.42439890311286,5874.03080372303,3.70918011665344,84.95511145,3.83540271728533,72.02401270252,52.8061674651841,0,0,0,0,0,0,12.5
89.8583124845854,9.33512832895865,5.61090683167427,4.65212132351984,5733.51584469729,3.45929503440857,84.95511145,6.15623852560203,71.8872400935005,52.5071871488085,0,0,0,0,0,0,12.7
96.7736884722286,6.62653827168781,7.70976162,2.3285702387722,6275.43469598207,3.70918011665344,61.5,2.12615766885021,72.3150125047629,55.6954503331851,0,0,0,0,0,0,14.4
96.4226367435274,6.21898399860624,5.34256816818965,2.29073324961962,6144.70308054742,3.70918011665344,59.5,4.22522603168918,72.0838364704563,55.4304551226559,0,0,0,0,0,0,13.9
100.0,6.014965601113345,7.70976162,2.73606791647842,82808.120496409,3.70918011665344,94.4,2.6655545188319,79.2390403034254,80.4068310718763,0,0,0,0,0,0,0.9
100.0,6.014965601113345,16.2910204736392,2.85945132916503,79647.6390981082,3.70918011665344,93.3,3.99766999081457,78.7304513464606,80.3357102611225,0,0,0,0,0,0,1.1
99.8246424902051,16.7184339395149,7.70976162,6.75761201913679,2601.82209529365,2.86143825839217,62.8,3.72320611944934,72.5599614464264,35.462858724308,0,0,0,0,0,0,3.8
99.4087889697405,16.7579251650367,3.25977663546509,6.7848640413625,2449.857142451,2.16213826344701,58.3,6.38250790219375,72.3247648783903,35.137165500664,0,0,0,0,0,0,4.7
55.1103542559,17.9741900176443,7.70976162,3.6161279249573,1542.65844261619,3.70918011665344,33.6,4.30009584697999,62.8036817702073,44.1495101463121,0,0,0,0,0,0,45.1
53.2507689805499,19.2985764670609,4.91966846383615,2.71446691675897,1682.2261488119,3.25853222146531,32.3,6.69759990789845,62.6027406477464,43.639562828921,0,0,0,0,0,0,45.6
91.9264843853681,4.07045929837122,7.70976162,2.90001340156714,13717.0909956338,3.70918011665344,71.2,3.01447576977999,73.4818184164654,57.565600293551,0,0,0,0,0,0,10.4
91.6034762480239,4.13682559934491,10.0604465994699,2.85938493335973,13313.8575826001,3.56927475138052,69.2,5.79944107391962,73.3302230276374,57.3116916082902,0,0,0,0,0,0,10.6
